alpha,lambda,Two Werner States Ent 1,Single Werner State Ent 1 Dbld,Single Werner State Ent 2 Dbld,Ent 1 Dif,Ent_1 v Ent_2 dif
-1.0,1.0,8.339850002862864,Inf,8.339850002884624,-Inf,-2.1760371282653068e-11
-0.99,0.9974937343358395,8.347090634437652,23.620339875329314,8.347090634242019,-15.273249240891662,1.9563373143682838e-10
-0.98,0.9949748743718593,8.354386003921505,21.61309924397192,8.354386003812703,-13.258713240050415,1.0880185641326534e-10
-0.97,0.9924433249370278,8.361736758265273,20.435915395728227,8.361736758257788,-12.074178637462953,7.485567721232655e-12
-0.96,0.98989898989899,8.369143554824435,19.59856324304384,8.369143554813427,-11.229419688219407,1.1008083333763352e-11
-0.95,0.9873417721518987,8.376607058139413,18.94741149923883,8.376607061514335,-10.570804441099416,-3.3749216754586087e-9
-0.94,0.9847715736040609,8.384127957879306,18.414028640355063,8.384127957423122,-10.029900682475757,4.561844235695389e-10
-0.93,0.9821882951653944,8.39170693284925,17.96191116328663,8.391706932865677,-9.57020423043738,-1.6427748050773516e-11
-0.92,0.9795918367346939,8.399344689674855,17.569269691115043,8.399344689672729,-9.169925001440188,2.1262991367621e-12
-0.91,0.9769820971867008,8.40704194159235,17.222049594614706,8.407041941427831,-8.815007653022356,1.645190650378936e-10
-0.9,0.9743589743589743,8.414799423908107,16.91065444060912,8.414799413721951,-8.495855016701015,1.0186155918745499e-8
-0.89,0.9717223650385605,8.422617844410171,16.628239455582413,8.422617844414862,-8.205621611172242,-4.6913584128560615e-12
-0.88,0.9690721649484536,8.430500005351028,16.36975068581657,8.430497983903606,-7.939250680465541,2.0214474218960277e-6
-0.87,0.9664082687338501,8.438440595456086,16.13135007889126,8.438440595398172,-7.692909483435173,5.7914562034966366e-11
-0.86,0.9637305699481865,8.446446455167363,15.910054233305576,8.446446455204722,-7.463607778138213,-3.735856068942667e-11
-0.85,0.961038961038961,8.454516353018109,15.703498082832114,8.454516353016528,-7.248981729814005,1.580957587066223e-12
-0.84,0.9583333333333333,8.462651092192523,15.509775004326936,8.462651092212912,-7.047123912134413,-2.0389023802636075e-11
-0.83,0.9556135770234987,8.470851490157301,15.327325484233858,8.470851490166453,-6.856473994076557,-9.15179043659009e-12
-0.82,0.9528795811518325,8.479118378538754,15.154857656071496,8.479118378558729,-6.675739277532742,-1.9975132659055816e-11
-0.81,0.9501312335958005,8.487452603677266,14.991289350984099,8.487452603704858,-6.503836747306833,-2.759215078640409e-11
-0.8,0.9473684210526316,8.495855026875937,14.835705029771797,8.49585502688717,-6.33985000289586,-1.1233680652367184e-11
-0.79,0.9445910290237467,8.50432652472116,14.687323233669288,8.504326524698296,-6.182996708948128,2.2863488879920624e-11
-0.78,0.9417989417989417,8.512867989272952,14.545471614052175,8.512867989393975,-6.032603624779224,-1.2102319146833906e-10
-0.77,0.9389920424403183,8.521480329248572,14.409567517307927,8.521480329255958,-5.888087188059355,-7.386091738226241e-12
-0.76,0.9361702127659575,8.53016446874699,14.279102704797587,8.530164468965305,-5.748938236050597,-2.1831425556229078e-10
-0.75,0.9333333333333333,8.538921349711671,14.153631194101662,8.538921349986452,-5.61470984438999,-2.7478108677314594e-10
-0.74,0.9304812834224598,8.547751930975174,14.032759486377714,8.547751930962441,-5.4850075554025395,1.2732925824820995e-11
-0.73,0.9276139410187667,8.556657188060345,13.916138639068162,8.556657188121651,-5.359481451007817,-6.130562724138144e-11
-0.72,0.924731182795699,8.56563811569659,13.803457780985479,8.56563811569649,-5.237819665288889,9.947598300641403e-14
-0.71,0.921832884097035,8.574695726187977,13.694438765871086,8.574695726354435,-5.119743039683108,-1.6645707034967927e-10
-0.7,0.9189189189189189,8.58383105163819,13.588831732700212,8.583831051641845,-5.005000681062022,-3.653966018646315e-12
-0.69,0.9159891598915989,8.593045142458678,13.486411394231666,8.59304514244105,-4.893366251772989,1.7628565274208086e-11
-0.68,0.9130434782608696,8.602339051655248,13.38697391499865,8.602339069441129,-4.784634863343403,-1.778588121226221e-8
-0.67,0.9100817438692098,8.611713923627773,13.290334269854144,8.611713923622947,-4.678620346226371,4.8263615326504805e-12
-0.66,0.907103825136612,8.62117081668083,13.196323996952032,8.621170816758859,-4.575153180271201,-7.80282505274954e-11
-0.65,0.9041095890410958,8.630710886635782,13.10478927652945,8.630710881927751,-4.474078389893668,4.708031298150672e-9
-0.64,0.9010989010989011,8.640335273998657,13.015589280397393,8.64033527404585,-4.375254006398736,-4.7192472152346454e-11
-0.63,0.8980716253443526,8.650045170534991,12.928594747618227,8.650045170413971,-4.278549577083236,1.2101963875466026e-10
-0.62,0.8950276243093923,8.659841771288058,12.843686750163863,8.659841771281785,-4.183844978875806,6.272315999922284e-12
-0.61,0.89196675900277,8.669726300492933,12.76075561893447,8.669726300429733,-4.091029318441537,6.319922363218211e-11
-0.6,0.888888888888889,8.679700005762713,12.679700005769249,8.679700005769249,-4.000000000006535,-6.5352168121535215e-12
-0.59,0.8857938718662952,8.689764159752098,12.60042606129456,8.689764159962017,-3.9106619015424613,-2.099191931392852e-10
-0.58,0.8826815642458101,8.699920061017568,12.522846711855617,8.699920061058931,-3.822926650838049,-4.136246900543483e-11
-0.57,0.8795518207282913,8.710169033088192,12.446881021538628,8.71016903315957,-3.736711988450436,-7.137757052078086e-11
-0.56,0.8764044943820225,8.72051242704667,12.372453627542825,8.720512427092924,-3.6519412004961556,-4.625455574114312e-11
-0.55,0.8732394366197184,8.73095162081789,12.299494239009364,8.730951621120237,-3.568542618191474,-3.0234659220695903e-10
