α,λ,Two Copy Ent_1 Norm,One Copy Ent_1 Norm Squared,One Copy Ent_2 Norm Squared,Ent_1 norm dif,Ent_1 v Ent_2 dif
-1.0,1.0,0.027777777778196774,0.0,0.027777777777777776,0.027777777778196774,4.189981694935341e-13
-0.99,0.9974937343358395,0.027638715275120414,6.979297310388208e-7,0.02763871527886829,0.027638017345389374,-3.747877008741796e-12
-0.98,0.9949748743718593,0.02749930557101769,2.8057652865107274e-6,0.027499305573091586,0.02749649980573118,-2.0738966099997924e-12
-0.97,0.9924433249370278,0.027359548700193134,6.34481533414971e-6,0.02735954870033508,0.027353203884858984,-1.4194548314527822e-13
-0.96,0.98989898989899,0.027219444727654564,1.1336711673412033e-5,0.027219444727862235,0.027208108015981152,-2.0767068620308748e-13
-0.95,0.9873417721518987,0.027078993814347762,1.7803414694938517e-5,0.027078993751001437,0.027061190399652824,6.334632471349799e-11
-0.94,0.9847715736040609,0.026938195885332576,2.5767218944059418e-5,0.026938195893850506,0.026912428666388516,-8.517929417362069e-12
-0.93,0.9821882951653944,0.026797051310302432,3.5250758790568e-5,0.02679705130999733,0.026761800551511863,3.0510316495480083e-13
-0.92,0.9795918367346939,0.026655560183217672,4.627701420704332e-5,0.02665556018325697,0.02660928316901063,-3.929842562477859e-14
-0.91,0.9769820971867008,0.02651372272540217,5.886931665805425e-5,0.02651372272842567,0.026454853408744115,-3.0235015879842564e-12
-0.9,0.9743589743589743,0.026371539005855586,7.305135510263714e-5,0.026371539192052016,0.02629848765075295,-1.8619642980222118e-10
-0.89,0.9717223650385605,0.026229009853311235,8.884718211249227e-5,0.02622900985322593,0.026140162671198744,8.530676165463547e-14
-0.88,0.9690721649484536,0.026086098473547092,0.00010628122010840684,0.02608613502438563,0.025979817253438686,-3.655083853637553e-8
-0.87,0.9664082687338501,0.025942915051101845,0.00012537826771747012,0.025942915052143273,0.025817536783384377,-1.0414273610148683e-12
-0.86,0.9637305699481865,0.02579935031879743,0.00014616350625371003,0.02579935031812934,0.02565318681254372,6.680905828559958e-13
-0.85,0.961038961038961,0.02565544123982871,0.000168662506324844,0.02565544123985682,0.025486778733503867,-2.8109459204728182e-14
-0.84,0.9583333333333333,0.02551118827196547,0.0001929012345679013,0.025511188271604934,0.02531828703739757,3.605379883531157e-13
-0.83,0.9556135770234987,0.025366591905484445,0.00021890606051654264,0.025366591905323504,0.025147685844967904,1.6094070520722425e-13
-0.82,0.9528795811518325,0.025221652671907336,0.0002467037636029716,0.025221652671558105,0.024974948908304366,3.4923106073669885e-13
-0.81,0.9501312335958005,0.025076371140876175,0.00027632154029740144,0.025076371140396608,0.024800049600578775,4.795677743807403e-13
-0.8,0.9473684210526316,0.02493074792263182,0.0003077870113881194,0.024930747922437678,0.0246229609112437,1.9414331253742034e-13
-0.79,0.9445910290237467,0.02478478366938888,0.00034112822940525326,0.024784783669781686,0.024443655439983624,-3.9280731445323624e-13
-0.78,0.9417989417989417,0.024638479079111444,0.0003763736861914404,0.024638479077044625,0.024262105392920005,2.066818938217807e-12
-0.77,0.9389920424403183,0.02449183488252095,0.000413552320622658,0.02449183488239557,0.02407828256189829,1.253788739496997e-13
-0.76,0.9361702127659575,0.024344851872302238,0.0004526935264825713,0.02434485186861828,0.023892158345819668,3.683959387545954e-12
-0.75,0.9333333333333333,0.024197530868806293,0.0004938271604938272,0.02419753086419753,0.023703703708312464,4.608761289270902e-12
-0.74,0.9304812834224598,0.02404987274421852,0.0005369835505098165,0.024049872744430777,0.023512889193708704,-2.1225729507357016e-13
-0.73,0.9276139410187667,0.023901878433581457,0.0005821935038705087,0.023901878432565783,0.023319684929710947,1.0156736562905166e-12
-0.72,0.924731182795699,0.02375354890096317,0.0006294883159260544,0.02375354890096478,0.023124060585037118,-1.609823385706477e-15
-0.71,0.921832884097035,0.023604885175019574,0.0006788997787319512,0.023604885172296048,0.022925985396287624,2.723526265624443e-12
-0.7,0.9189189189189189,0.023455888320812603,0.0007304601899196495,0.023455888320753182,0.022725428130892955,5.942121794610955e-14
-0.69,0.9159891598915989,0.02330655947301844,0.0007842023617465928,0.02330655947330325,0.02252235711127185,-2.848069002858722e-13
-0.68,0.9130434782608696,0.023156900096447768,0.0008401596303297623,0.023156899810964086,0.022316740466118007,2.8548368183334283e-10
-0.67,0.9100817438692098,0.023006910570034733,0.0008983658650669319,0.02300691057011172,0.0221085447049678,-7.69870278638507e-14
-0.66,0.907103825136612,0.022856593045054906,0.0009588554782499061,0.022856593043818707,0.021897737566805,1.2361986434505923e-12
-0.65,0.9041095890410958,0.022705948509126245,0.0010216634348741685,0.022705948583223865,0.021684285074252078,-7.409762040055945e-11
-0.64,0.9010989010989011,0.022554978599672443,0.0010868252626494385,0.022554978598934648,0.021468153337023003,7.377952415676958e-13
-0.63,0.8980716253443526,0.02240368456058309,0.0011543770622157799,0.02240368456246242,0.02124930749836731,-1.8793300249342337e-12
-0.62,0.8950276243093923,0.022252068007595348,0.0012243555175700104,0.022252068007692076,0.021027712490025337,-9.672818102046676e-14
-0.61,0.89196675900277,0.022100130531418113,0.0012967979067072845,0.02210013053238627,0.02080333262471083,-9.6815611083656e-13
-0.6,0.888888888888889,0.021947873799825088,0.0013717421124828531,0.02194787379972565,0.020576131687342236,9.943781908994254e-14
-0.59,0.8857938718662952,0.02179529954305693,0.001449226633699132,0.02179529953988563,0.020346072909357797,3.1713000281374804e-12
-0.58,0.8826815642458101,0.02164240955227135,0.0015292905964233326,0.02164240955165084,0.020113118955848018,6.205105873569039e-13
